institution, ror, year, count, oa status 
"University of Cambridge",https://ror.org/013meh722,2001,550,green
"University of Cambridge",https://ror.org/013meh722,2001,138,hybrid
"University of Cambridge",https://ror.org/013meh722,2001,46,gold
"University of Cambridge",https://ror.org/013meh722,2002,4036,closed
"University of Cambridge",https://ror.org/013meh722,2002,893,bronze
"University of Cambridge",https://ror.org/013meh722,2002,640,green
"University of Cambridge",https://ror.org/013meh722,2002,166,hybrid
"University of Cambridge",https://ror.org/013meh722,2002,42,gold
"University of Cambridge",https://ror.org/013meh722,2003,4179,closed
"University of Cambridge",https://ror.org/013meh722,2003,872,bronze
"University of Cambridge",https://ror.org/013meh722,2003,762,green
"University of Cambridge",https://ror.org/013meh722,2003,156,hybrid
"University of Cambridge",https://ror.org/013meh722,2003,67,gold
"University of Cambridge",https://ror.org/013meh722,2004,4260,closed
"University of Cambridge",https://ror.org/013meh722,2004,945,bronze
"University of Cambridge",https://ror.org/013meh722,2004,832,green
"University of Cambridge",https://ror.org/013meh722,2004,189,hybrid
"University of Cambridge",https://ror.org/013meh722,2004,84,gold
"University of Cambridge",https://ror.org/013meh722,2005,4409,closed
"University of Cambridge",https://ror.org/013meh722,2005,968,bronze
"University of Cambridge",https://ror.org/013meh722,2005,895,green
"University of Cambridge",https://ror.org/013meh722,2005,187,hybrid
"University of Cambridge",https://ror.org/013meh722,2005,148,gold
"University of Cambridge",https://ror.org/013meh722,2006,4657,closed
"University of Cambridge",https://ror.org/013meh722,2006,1100,green
"University of Cambridge",https://ror.org/013meh722,2006,995,bronze
"University of Cambridge",https://ror.org/013meh722,2006,221,hybrid
"University of Cambridge",https://ror.org/013meh722,2006,209,gold
"University of Cambridge",https://ror.org/013meh722,2007,4621,closed
"University of Cambridge",https://ror.org/013meh722,2007,1092,green
"University of Cambridge",https://ror.org/013meh722,2007,1028,bronze
"University of Cambridge",https://ror.org/013meh722,2007,314,hybrid
"University of Cambridge",https://ror.org/013meh722,2007,240,gold
"University of Cambridge",https://ror.org/013meh722,2008,4612,closed
"University of Cambridge",https://ror.org/013meh722,2008,1247,green
"University of Cambridge",https://ror.org/013meh722,2008,1047,bronze
"University of Cambridge",https://ror.org/013meh722,2008,400,hybrid
"University of Cambridge",https://ror.org/013meh722,2008,350,gold
"University of Cambridge",https://ror.org/013meh722,2009,5017,closed
"University of Cambridge",https://ror.org/013meh722,2009,1370,green
"University of Cambridge",https://ror.org/013meh722,2009,1253,bronze
"University of Cambridge",https://ror.org/013meh722,2009,463,hybrid
"University of Cambridge",https://ror.org/013meh722,2009,390,gold
"University of Cambridge",https://ror.org/013meh722,2010,5089,closed
"University of Cambridge",https://ror.org/013meh722,2010,1404,green
"University of Cambridge",https://ror.org/013meh722,2010,1327,bronze
"University of Cambridge",https://ror.org/013meh722,2010,527,gold
"University of Cambridge",https://ror.org/013meh722,2010,455,hybrid
"University of Cambridge",https://ror.org/013meh722,2011,5560,closed
"University of Cambridge",https://ror.org/013meh722,2011,1490,green
"University of Cambridge",https://ror.org/013meh722,2011,1339,bronze
"University of Cambridge",https://ror.org/013meh722,2011,635,gold
"University of Cambridge",https://ror.org/013meh722,2011,556,hybrid
"University of Cambridge",https://ror.org/013meh722,2012,5633,closed
"University of Cambridge",https://ror.org/013meh722,2012,1509,green
"University of Cambridge",https://ror.org/013meh722,2012,1497,bronze
"University of Cambridge",https://ror.org/013meh722,2012,774,gold
"University of Cambridge",https://ror.org/013meh722,2012,724,hybrid
"University of Cambridge",https://ror.org/013meh722,2013,5654,closed
"University of Cambridge",https://ror.org/013meh722,2013,1637,bronze
"University of Cambridge",https://ror.org/013meh722,2013,1556,green
"University of Cambridge",https://ror.org/013meh722,2013,989,gold
"University of Cambridge",https://ror.org/013meh722,2013,935,hybrid
"University of Cambridge",https://ror.org/013meh722,2014,5047,closed
"University of Cambridge",https://ror.org/013meh722,2014,1970,green
"University of Cambridge",https://ror.org/013meh722,2014,1729,bronze
"University of Cambridge",https://ror.org/013meh722,2014,1359,hybrid
"University of Cambridge",https://ror.org/013meh722,2014,1209,gold
"University of Cambridge",https://ror.org/013meh722,2015,4524,closed
"University of Cambridge",https://ror.org/013meh722,2015,2337,green
"University of Cambridge",https://ror.org/013meh722,2015,1762,bronze
"University of Cambridge",https://ror.org/013meh722,2015,1664,hybrid
"University of Cambridge",https://ror.org/013meh722,2015,1613,gold
"University of Cambridge",https://ror.org/013meh722,2016,4003,closed
"University of Cambridge",https://ror.org/013meh722,2016,2908,green
"University of Cambridge",https://ror.org/013meh722,2016,2042,hybrid
"University of Cambridge",https://ror.org/013meh722,2016,1866,gold
"University of Cambridge",https://ror.org/013meh722,2016,1745,bronze
"University of Cambridge",https://ror.org/013meh722,2017,4037,closed
"University of Cambridge",https://ror.org/013meh722,2017,3297,green
"University of Cambridge",https://ror.org/013meh722,2017,2065,gold
"University of Cambridge",https://ror.org/013meh722,2017,2057,hybrid
"University of Cambridge",https://ror.org/013meh722,2017,1801,bronze
"University of Cambridge",https://ror.org/013meh722,2018,4213,closed
"University of Cambridge",https://ror.org/013meh722,2018,3817,green
"University of Cambridge",https://ror.org/013meh722,2018,2285,gold
"University of Cambridge",https://ror.org/013meh722,2018,2202,hybrid
"University of Cambridge",https://ror.org/013meh722,2018,1754,bronze
"University of Cambridge",https://ror.org/013meh722,2019,4628,closed
"University of Cambridge",https://ror.org/013meh722,2019,4314,green
"University of Cambridge",https://ror.org/013meh722,2019,2698,gold
"University of Cambridge",https://ror.org/013meh722,2019,2156,hybrid
"University of Cambridge",https://ror.org/013meh722,2019,1789,bronze
"University of Cambridge",https://ror.org/013meh722,2020,4914,green
"University of Cambridge",https://ror.org/013meh722,2020,4527,closed
"University of Cambridge",https://ror.org/013meh722,2020,3396,gold
"University of Cambridge",https://ror.org/013meh722,2020,3064,hybrid
"University of Cambridge",https://ror.org/013meh722,2020,1728,bronze
"University of Cambridge",https://ror.org/013meh722,2021,4907,green
"University of Cambridge",https://ror.org/013meh722,2021,4628,closed
"University of Cambridge",https://ror.org/013meh722,2021,4097,gold
"University of Cambridge",https://ror.org/013meh722,2021,3559,hybrid
"University of Cambridge",https://ror.org/013meh722,2021,1464,bronze
"University of Cambridge",https://ror.org/013meh722,2022,4699,gold
"University of Cambridge",https://ror.org/013meh722,2022,3875,green
"University of Cambridge",https://ror.org/013meh722,2022,3582,hybrid
"University of Cambridge",https://ror.org/013meh722,2022,3391,closed
"University of Cambridge",https://ror.org/013meh722,2022,1102,bronze
"University of Cambridge",https://ror.org/013meh722,2023,4194,hybrid
"University of Cambridge",https://ror.org/013meh722,2023,3886,closed
"University of Cambridge",https://ror.org/013meh722,2023,3793,gold
"University of Cambridge",https://ror.org/013meh722,2023,2308,green
"University of Cambridge",https://ror.org/013meh722,2023,1430,bronze
"Imperial College London",https://ror.org/041kmwe10,2000,2262,closed
"Imperial College London",https://ror.org/041kmwe10,2000,399,bronze
"Imperial College London",https://ror.org/041kmwe10,2000,266,green
"Imperial College London",https://ror.org/041kmwe10,2000,62,hybrid
"Imperial College London",https://ror.org/041kmwe10,2000,46,gold
"Imperial College London",https://ror.org/041kmwe10,2001,2252,closed
"Imperial College London",https://ror.org/041kmwe10,2001,417,bronze
"Imperial College London",https://ror.org/041kmwe10,2001,355,green
"Imperial College London",https://ror.org/041kmwe10,2001,75,gold
"Imperial College London",https://ror.org/041kmwe10,2001,64,hybrid
"Imperial College London",https://ror.org/041kmwe10,2002,2860,closed
"Imperial College London",https://ror.org/041kmwe10,2002,515,bronze
"Imperial College London",https://ror.org/041kmwe10,2002,449,green
"Imperial College London",https://ror.org/041kmwe10,2002,87,hybrid
"Imperial College London",https://ror.org/041kmwe10,2002,82,gold
"Imperial College London",https://ror.org/041kmwe10,2003,2958,closed
"Imperial College London",https://ror.org/041kmwe10,2003,692,bronze
"Imperial College London",https://ror.org/041kmwe10,2003,555,green
"Imperial College London",https://ror.org/041kmwe10,2003,104,hybrid
"Imperial College London",https://ror.org/041kmwe10,2003,83,gold
"Imperial College London",https://ror.org/041kmwe10,2004,3071,closed
"Imperial College London",https://ror.org/041kmwe10,2004,803,bronze
"Imperial College London",https://ror.org/041kmwe10,2004,628,green
"Imperial College London",https://ror.org/041kmwe10,2004,136,hybrid
"Imperial College London",https://ror.org/041kmwe10,2004,114,gold
"Imperial College London",https://ror.org/041kmwe10,2005,3350,closed
"Imperial College London",https://ror.org/041kmwe10,2005,849,bronze
"Imperial College London",https://ror.org/041kmwe10,2005,710,green
"Imperial College London",https://ror.org/041kmwe10,2005,169,gold
"Imperial College London",https://ror.org/041kmwe10,2005,143,hybrid
"Imperial College London",https://ror.org/041kmwe10,2006,3697,closed
"Imperial College London",https://ror.org/041kmwe10,2006,866,bronze
"Imperial College London",https://ror.org/041kmwe10,2006,810,green
"Imperial College London",https://ror.org/041kmwe10,2006,211,gold
"Imperial College London",https://ror.org/041kmwe10,2006,175,hybrid
"Imperial College London",https://ror.org/041kmwe10,2007,3651,closed
"Imperial College London",https://ror.org/041kmwe10,2007,950,bronze
"Imperial College London",https://ror.org/041kmwe10,2007,925,green
"Imperial College London",https://ror.org/041kmwe10,2007,247,hybrid
"Imperial College London",https://ror.org/041kmwe10,2007,218,gold
"Imperial College London",https://ror.org/041kmwe10,2008,3992,closed
"Imperial College London",https://ror.org/041kmwe10,2008,1095,green
"Imperial College London",https://ror.org/041kmwe10,2008,991,bronze
"Imperial College London",https://ror.org/041kmwe10,2008,384,gold
"Imperial College London",https://ror.org/041kmwe10,2008,307,hybrid
"Imperial College London",https://ror.org/041kmwe10,2009,4091,closed
"Imperial College London",https://ror.org/041kmwe10,2009,1224,green
"Imperial College London",https://ror.org/041kmwe10,2009,1106,bronze
"Imperial College London",https://ror.org/041kmwe10,2009,373,gold
"Imperial College London",https://ror.org/041kmwe10,2009,349,hybrid
"Imperial College London",https://ror.org/041kmwe10,2010,4227,closed
"Imperial College London",https://ror.org/041kmwe10,2010,1337,green
"Imperial College London",https://ror.org/041kmwe10,2010,1319,bronze
"Imperial College London",https://ror.org/041kmwe10,2010,486,gold
"Imperial College London",https://ror.org/041kmwe10,2010,406,hybrid
"Imperial College London",https://ror.org/041kmwe10,2011,4501,closed
"Imperial College London",https://ror.org/041kmwe10,2011,1455,bronze
"Imperial College London",https://ror.org/041kmwe10,2011,1345,green
"Imperial College London",https://ror.org/041kmwe10,2011,656,gold
"Imperial College London",https://ror.org/041kmwe10,2011,499,hybrid
"Imperial College London",https://ror.org/041kmwe10,2012,4473,closed
"Imperial College London",https://ror.org/041kmwe10,2012,1464,bronze
"Imperial College London",https://ror.org/041kmwe10,2012,1312,green
"Imperial College London",https://ror.org/041kmwe10,2012,800,gold
"Imperial College London",https://ror.org/041kmwe10,2012,639,hybrid
"Imperial College London",https://ror.org/041kmwe10,2013,4486,closed
"Imperial College London",https://ror.org/041kmwe10,2013,1561,bronze
"Imperial College London",https://ror.org/041kmwe10,2013,1520,green
"Imperial College London",https://ror.org/041kmwe10,2013,987,gold
