institution, ror, year, count, oa status 
Massey University,https://ror.org/052czxv31,2010,52,hybrid
Massey University,https://ror.org/052czxv31,2011,1236,closed
Massey University,https://ror.org/052czxv31,2011,186,bronze
Massey University,https://ror.org/052czxv31,2011,102,green
Massey University,https://ror.org/052czxv31,2011,86,gold
Massey University,https://ror.org/052czxv31,2011,75,hybrid
Massey University,https://ror.org/052czxv31,2012,1123,closed
Massey University,https://ror.org/052czxv31,2012,156,bronze
Massey University,https://ror.org/052czxv31,2012,96,gold
Massey University,https://ror.org/052czxv31,2012,81,green
Massey University,https://ror.org/052czxv31,2012,62,hybrid
Massey University,https://ror.org/052czxv31,2013,1056,closed
Massey University,https://ror.org/052czxv31,2013,177,bronze
Massey University,https://ror.org/052czxv31,2013,147,gold
Massey University,https://ror.org/052czxv31,2013,111,green
Massey University,https://ror.org/052czxv31,2013,47,hybrid
Massey University,https://ror.org/052czxv31,2014,1064,closed
Massey University,https://ror.org/052czxv31,2014,178,gold
Massey University,https://ror.org/052czxv31,2014,162,bronze
Massey University,https://ror.org/052czxv31,2014,146,green
Massey University,https://ror.org/052czxv31,2014,69,hybrid
Massey University,https://ror.org/052czxv31,2015,1065,closed
Massey University,https://ror.org/052czxv31,2015,182,gold
Massey University,https://ror.org/052czxv31,2015,178,bronze
Massey University,https://ror.org/052czxv31,2015,163,green
Massey University,https://ror.org/052czxv31,2015,83,hybrid
Massey University,https://ror.org/052czxv31,2016,1145,closed
Massey University,https://ror.org/052czxv31,2016,242,gold
Massey University,https://ror.org/052czxv31,2016,175,green
Massey University,https://ror.org/052czxv31,2016,172,bronze
Massey University,https://ror.org/052czxv31,2016,113,hybrid
Massey University,https://ror.org/052czxv31,2017,1253,closed
Massey University,https://ror.org/052czxv31,2017,320,gold
Massey University,https://ror.org/052czxv31,2017,198,green
Massey University,https://ror.org/052czxv31,2017,191,bronze
Massey University,https://ror.org/052czxv31,2017,126,hybrid
Massey University,https://ror.org/052czxv31,2018,1016,closed
Massey University,https://ror.org/052czxv31,2018,362,gold
Massey University,https://ror.org/052czxv31,2018,216,green
Massey University,https://ror.org/052czxv31,2018,193,bronze
Massey University,https://ror.org/052czxv31,2018,98,hybrid
Massey University,https://ror.org/052czxv31,2019,1048,closed
Massey University,https://ror.org/052czxv31,2019,426,gold
Massey University,https://ror.org/052czxv31,2019,237,green
Massey University,https://ror.org/052czxv31,2019,155,bronze
Massey University,https://ror.org/052czxv31,2019,132,hybrid
Massey University,https://ror.org/052czxv31,2020,1162,closed
Massey University,https://ror.org/052czxv31,2020,534,gold
Massey University,https://ror.org/052czxv31,2020,339,green
Massey University,https://ror.org/052czxv31,2020,161,bronze
Massey University,https://ror.org/052czxv31,2020,145,hybrid
Massey University,https://ror.org/052czxv31,2021,1144,closed
Massey University,https://ror.org/052czxv31,2021,693,gold
Massey University,https://ror.org/052czxv31,2021,306,green
Massey University,https://ror.org/052czxv31,2021,182,bronze
Massey University,https://ror.org/052czxv31,2021,180,hybrid
Massey University,https://ror.org/052czxv31,2022,942,closed
Massey University,https://ror.org/052czxv31,2022,720,gold
Massey University,https://ror.org/052czxv31,2022,330,hybrid
Massey University,https://ror.org/052czxv31,2022,248,green
Massey University,https://ror.org/052czxv31,2022,96,bronze
Massey University,https://ror.org/052czxv31,2023,708,closed
Massey University,https://ror.org/052czxv31,2023,539,hybrid
Massey University,https://ror.org/052czxv31,2023,509,gold
Massey University,https://ror.org/052czxv31,2023,138,bronze
Massey University,https://ror.org/052czxv31,2023,113,green
Victoria University of Wellington,https://ror.org/0040r6f76,2000,289,closed
Victoria University of Wellington,https://ror.org/0040r6f76,2000,50,bronze
Victoria University of Wellington,https://ror.org/0040r6f76,2000,19,green
Victoria University of Wellington,https://ror.org/0040r6f76,2000,13,hybrid
Victoria University of Wellington,https://ror.org/0040r6f76,2000,6,gold
Victoria University of Wellington,https://ror.org/0040r6f76,2001,311,closed
Victoria University of Wellington,https://ror.org/0040r6f76,2001,37,bronze
Victoria University of Wellington,https://ror.org/0040r6f76,2001,19,green
Victoria University of Wellington,https://ror.org/0040r6f76,2001,7,gold
Victoria University of Wellington,https://ror.org/0040r6f76,2001,7,hybrid
Victoria University of Wellington,https://ror.org/0040r6f76,2002,355,closed
Victoria University of Wellington,https://ror.org/0040r6f76,2002,61,bronze
Victoria University of Wellington,https://ror.org/0040r6f76,2002,30,green
Victoria University of Wellington,https://ror.org/0040r6f76,2002,13,gold
Victoria University of Wellington,https://ror.org/0040r6f76,2002,7,hybrid
Victoria University of Wellington,https://ror.org/0040r6f76,2003,360,closed
Victoria University of Wellington,https://ror.org/0040r6f76,2003,45,bronze
Victoria University of Wellington,https://ror.org/0040r6f76,2003,39,green
Victoria University of Wellington,https://ror.org/0040r6f76,2003,10,hybrid
Victoria University of Wellington,https://ror.org/0040r6f76,2003,3,gold
Victoria University of Wellington,https://ror.org/0040r6f76,2004,505,closed
Victoria University of Wellington,https://ror.org/0040r6f76,2004,54,bronze
Victoria University of Wellington,https://ror.org/0040r6f76,2004,54,green
Victoria University of Wellington,https://ror.org/0040r6f76,2004,29,gold
Victoria University of Wellington,https://ror.org/0040r6f76,2004,12,hybrid
Victoria University of Wellington,https://ror.org/0040r6f76,2005,535,closed
Victoria University of Wellington,https://ror.org/0040r6f76,2005,71,bronze
Victoria University of Wellington,https://ror.org/0040r6f76,2005,63,green
Victoria University of Wellington,https://ror.org/0040r6f76,2005,9,gold
Victoria University of Wellington,https://ror.org/0040r6f76,2005,8,hybrid
Victoria University of Wellington,https://ror.org/0040r6f76,2006,594,closed
Victoria University of Wellington,https://ror.org/0040r6f76,2006,74,bronze
Victoria University of Wellington,https://ror.org/0040r6f76,2006,70,green
Victoria University of Wellington,https://ror.org/0040r6f76,2006,18,gold
Victoria University of Wellington,https://ror.org/0040r6f76,2006,9,hybrid
Victoria University of Wellington,https://ror.org/0040r6f76,2007,625,closed
Victoria University of Wellington,https://ror.org/0040r6f76,2007,99,bronze
Victoria University of Wellington,https://ror.org/0040r6f76,2007,84,green
Victoria University of Wellington,https://ror.org/0040r6f76,2007,11,gold
Victoria University of Wellington,https://ror.org/0040r6f76,2007,11,hybrid
Victoria University of Wellington,https://ror.org/0040r6f76,2008,655,closed
Victoria University of Wellington,https://ror.org/0040r6f76,2008,93,bronze
Victoria University of Wellington,https://ror.org/0040r6f76,2008,87,green
Victoria University of Wellington,https://ror.org/0040r6f76,2008,20,gold
Victoria University of Wellington,https://ror.org/0040r6f76,2008,14,hybrid
Victoria University of Wellington,https://ror.org/0040r6f76,2009,796,closed
Victoria University of Wellington,https://ror.org/0040r6f76,2009,97,green
Victoria University of Wellington,https://ror.org/0040r6f76,2009,90,bronze
Victoria University of Wellington,https://ror.org/0040r6f76,2009,38,gold
Victoria University of Wellington,https://ror.org/0040r6f76,2009,12,hybrid
Victoria University of Wellington,https://ror.org/0040r6f76,2010,944,closed
Victoria University of Wellington,https://ror.org/0040r6f76,2010,139,bronze
Victoria University of Wellington,https://ror.org/0040r6f76,2010,96,green
Victoria University of Wellington,https://ror.org/0040r6f76,2010,50,gold
Victoria University of Wellington,https://ror.org/0040r6f76,2010,19,hybrid
Victoria University of Wellington,https://ror.org/0040r6f76,2011,1156,closed
Victoria University of Wellington,https://ror.org/0040r6f76,2011,134,bronze
Victoria University of Wellington,https://ror.org/0040r6f76,2011,132,green
Victoria University of Wellington,https://ror.org/0040r6f76,2011,69,gold
Victoria University of Wellington,https://ror.org/0040r6f76,2011,29,hybrid
Victoria University of Wellington,https://ror.org/0040r6f76,2012,1000,closed
Victoria University of Wellington,https://ror.org/0040r6f76,2012,142,bronze
Victoria University of Wellington,https://ror.org/0040r6f76,2012,141,green
Victoria University of Wellington,https://ror.org/0040r6f76,2012,71,gold
Victoria University of Wellington,https://ror.org/0040r6f76,2012,21,hybrid
